REGIAO:;SE
UF:;MG
ESTACAO:;UBERLANDIA
CODIGO (WMO):;A507
LATITUDE:;-18,91694443
LONGITUDE:;-48,25555555
ALTITUDE:;874,77
DATA DE FUNDACAO:;18/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;911,9;912;911,2;;21,7;18;22,2;21,7;18,8;18;82;78;80;39;6,3;1,5;
2022/01/01;0100 UTC;0;912,5;912,5;911,9;;21;18,2;21,7;21;18,3;17,9;84;79;84;70;5,2;2,1;
2022/01/01;0200 UTC;0;912,6;912,8;912,5;;20,7;18,5;21;20,6;18,5;18,1;87;84;87;55;5,1;1,6;
2022/01/01;0300 UTC;0;912,1;912,7;912,1;;20,7;18,7;20,7;20,5;18,7;18,5;89;87;88;66;4,7;1;
2022/01/01;0400 UTC;0;911,8;912,2;911,8;;20,8;18,7;20,9;20,6;18,8;18,6;88;87;88;25;5,1;1,9;
2022/01/01;0500 UTC;0;911,4;911,8;911,4;;20,6;18,4;20,8;20,6;18,7;18,4;88;87;87;28;6;1,9;
2022/01/01;0600 UTC;0;911,2;911,4;911,2;;20,8;18,5;20,8;20,6;18,5;18,4;87;87;87;25;4,7;1,3;
2022/01/01;0700 UTC;0;911,3;911,3;911,1;;20,8;18,4;21;20,7;18,5;18,3;87;85;86;358;5,3;2;
2022/01/01;0800 UTC;0;911,4;911,5;911,3;;20,4;18,3;20,8;20,4;18,5;18,3;88;86;88;20;5,1;2;
2022/01/01;0900 UTC;0;911,9;911,9;911,4;;20,5;18,2;20,5;20,3;18,3;18,1;88;86;87;8;7;2,1;
